barcode,product_family_id,product_title,season,nivel,brand_origin,color_name,color_group,color_intensity,adventurous,application,weather,style,print,basic,fit
740661,CARDIGAN,Onljade Cardigan knit ,8,2,MAINSTREAM,black,black,oscuro,two,freetime,cold,"('boho', 'classic')",smooth,false,straight
740708,CARDIGAN,Onljade Cardigan knit ,8,2,MAINSTREAM,beige,brown,claro,two,freetime,cold,"('boho', 'classic')",smooth,false,straight
740739,CARDIGAN,Onljade Cardigan knit ,8,2,MAINSTREAM,rust,brown,oscuro,two,freetime,cold,"('boho', 'classic')",smooth,false,straight
696432,JEANS,Poly Pant deeluxe,7,1,NO_MAINSTREAM,red,red,intenso,"('three', 'two')",freetime,warm,"('casual', 'street')",smooth,false,tight
1013726,SWEATER,Onleden Sweater knt,9,2,MAINSTREAM,yellow,yellow,intenso,two,"('work', 'freetime')",warm,"('classic', 'boho')",smooth,false,loose
1013672,SWEATER,Onleden Sweater knt,9,2,MAINSTREAM,ecru,brown,suave,two,"('work', 'freetime')",warm,"('classic', 'boho')",smooth,false,loose
1013757,SWEATER,Onleden Sweater knt,9,2,MAINSTREAM,blue_dark,blue,oscuro,two,"('work', 'freetime')",warm,"('classic', 'boho')",smooth,false,loose
1037746,JACKET,Cerise Jacket print,8,3,WHOLE_SALE,blue_dark,blue,oscuro,three,freetime,warm,"('boho', 'street')",floral,false,loose
1037692,JACKET,Cerise Jacket print,8,3,WHOLE_SALE,black,black,oscuro,three,freetime,warm,"('boho', 'street')",floral,false,loose
1185133,SHIRT,Auttum Shirt hippie,8,2,WHOLE_SALE,green_dark,green,oscuro,"('two', 'three')","('freetime', 'work')",warm,"('boho', 'classic')",sheets,false,loose
1185102,SHIRT,Auttum Shirt hippie,8,2,WHOLE_SALE,camel,brown,claro,"('two', 'three')","('freetime', 'work')",warm,"('boho', 'classic')",sheets,false,loose
1260922,PANT,Cherry Pant plain T. L C. brown,9,1,WHOLE_SALE,black,black,oscuro,two,"('work', 'working_girl')",both,"('classic', 'minimal')",smooth,false,straight
1261011,PANT,Cherry Pant plain T. L C. brown,9,1,WHOLE_SALE,blue_dark,blue,oscuro,two,"('work', 'working_girl')",both,"('classic', 'minimal')",smooth,false,straight
1260984,PANT,Cherry Pant plain T. L C. brown,9,1,WHOLE_SALE,gray_light,grey,suave,two,"('work', 'working_girl')",both,"('classic', 'minimal')",smooth,false,straight
1261110,PANT,Cherry Pant plain T. L C. brown,9,1,WHOLE_SALE,khaki,green,oscuro,two,"('work', 'working_girl')",both,"('classic', 'minimal')",smooth,false,straight
1261042,PANT,Cherry Pant plain T. L C. brown,9,1,WHOLE_SALE,brown,brown,oscuro,two,"('work', 'working_girl')",both,"('classic', 'minimal')",smooth,false,straight
1194135,TSHIRT,Billary Top closet,9,2,OWN_PRODUCTION,black,black,oscuro,two,freetime,warm,boho,"('animal_print', 'sheets')",false,straight
1198676,TSHIRT,Panthy Top closet,9,2,OWN_PRODUCTION,indigo,blue,oscuro,two,freetime,warm,boho,"('animal_print', 'sheets')",false,straight
1445091,TOP,Tilda Top majolica,9,2,WHOLE_SALE,white,white,claro,two,"('freetime', 'work')",warm,classic,smooth,false,straight
1445138,TOP,Tilda Top majolica,9,2,WHOLE_SALE,black,black,oscuro,two,"('freetime', 'work')",warm,classic,smooth,false,straight
1445145,TOP,Tilda Top majolica,9,2,WHOLE_SALE,green,green,intenso,two,"('freetime', 'work')",warm,classic,smooth,false,straight
679657,SWEATSHIRT,Long Tshirt stripe,7,2,NO_MAINSTREAM,ecru,brown,suave,"('two', 'three')","('freetime', 'work')",warm,"('boho', 'classic')",horizontal_stripes,false,straight
679145,TOP,Turna Top flounce ,7,2,NO_MAINSTREAM,grey_dark,grey,oscuro,"('three', 'two')","('work', 'freetime')",warm,"('boho', 'classic')",smooth,false,straight
679411,TSHIRT,Raye Tshirt peak ,7,2,NO_MAINSTREAM,blue_dark,blue,oscuro,"('three', 'two')",freetime,warm,"('boho', 'casual')",horizontal_stripes,false,straight
787031,JACKET,Burle Jacket bomb,7,3,WHOLE_SALE,black,black,oscuro,four,freetime,both,"('boho', 'casual')",sheets,false,loose
957366,JACKET,Denim Jacket sew ,7,3,OWN_PRODUCTION,blue_dark,blue,oscuro,"('two', 'three')",freetime,both,street,smooth,false,tight
1059861,JEANS,Onlblush Jeans noos,9,1,MAINSTREAM,white,white,claro,"('three', 'four')","('freetime', 'work')",warm,street,smooth,false,tight
585354,JEANS,Onlblush Jeans noos,7,1,MAINSTREAM,white,white,claro,"('three', 'four')","('freetime', 'work')",warm,street,smooth,false,tight
1396447,DRESS,Shine Dress etui ,9,1,NO_MAINSTREAM,blue_dark,blue,oscuro,"('two', 'three')","('work', 'working_girl')",both,"('classic', 'minimal')",smooth,false,tight
1008258,DRESS,Pcbodil Dress noos,9,1,MAINSTREAM,black,black,oscuro,two,"('freetime', 'work')",warm,classic,smooth,false,loose
1397376,SHIRT,Ariel Shirt season ,9,2,WHOLE_SALE,mustand,yellow,intenso,"('two', 'three')","('work', 'freetime')",both,boho,sheets,false,straight
1397390,SHIRT,Ariel Shirt season ,9,2,WHOLE_SALE,ecru,brown,suave,"('two', 'three')","('work', 'freetime')",both,boho,sheets,false,straight
1445329,DRESS,Carol Dress majolica ,9,1,WHOLE_SALE,green,green,intenso,two,"('work', 'freetime')",warm,classic,smooth,false,straight
1445305,DRESS,Carol Dress majolica ,9,1,WHOLE_SALE,black,black,oscuro,two,"('work', 'freetime')",warm,classic,smooth,false,straight
1445374,DRESS,Carol Dress majolica ,9,1,WHOLE_SALE,blue_dark,blue,oscuro,two,"('work', 'freetime')",warm,classic,smooth,false,straight
1464290,SHIRT,Frhazavisk Shirt mix,9,2,MAINSTREAM,khaki,green,oscuro,two,"('work', 'freetime')",cold,classic,bodoque,false,straight
1464306,SHIRT,Frhazavisk Shirt mix,9,2,MAINSTREAM,ecru,brown,suave,two,"('work', 'freetime')",cold,classic,bodoque,false,straight
864480,FOULARD,Leav Scarf visc,8,3,NO_MAINSTREAM,black,black,oscuro,two,"('work', 'freetime')",warm,"('boho', 'classic')",sheets,missing,missing
880015,SKIRT,Viosk Skirt knit,8,1,MAINSTREAM,pink,pink,intenso,"('two', 'three')",freetime,cold,"('boho', 'classic')",smooth,false,loose
880060,SKIRT,Viosk Skirt knit,8,1,MAINSTREAM,brown,brown,oscuro,"('two', 'three')",freetime,cold,"('boho', 'classic')",smooth,false,loose
1388206,TSHIRT,Ixrosa Tshirt express ,9,2,MAINSTREAM,black,black,oscuro,three,"('work', 'freetime')",cold,street,smooth,false,tight
1388138,TSHIRT,Ixrosa Tshirt express ,9,2,MAINSTREAM,ecru,brown,suave,three,"('work', 'freetime')",cold,street,smooth,false,tight
1193855,JACKET,Billia Jacket closet,9,3,OWN_PRODUCTION,black,black,oscuro,"('two', 'three')","('freetime', 'work')",warm,classic,"('animal_print', 'sheets')",false,straight
1445510,TOP,Bail Top majolica,9,2,WHOLE_SALE,red,red,intenso,two,"('freetime', 'work')",warm,"('boho', 'classic')",smooth,false,straight
1445480,TOP,Bail Top majolica,9,2,WHOLE_SALE,white,white,claro,two,"('freetime', 'work')",warm,"('boho', 'classic')",smooth,false,straight
967617,JACKET,Ball Jacket bomber ,7,3,WHOLE_SALE,khaki,green,oscuro,"('three', 'four')",freetime,cold,street,smooth,false,straight
946209,JACKET,Ball Jacket bomber ,7,3,WHOLE_SALE,blue_dark,blue,oscuro,"('three', 'four')",freetime,cold,street,smooth,false,straight
776660,SHIRT,Wall Shirt kilky ,7,2,WHOLE_SALE,green,green,intenso,two,"('work', 'freetime')",warm,"('casual', 'boho')",vertical_stripes,false,oversize
776677,SHIRT,Wall Shirt kilky ,7,2,WHOLE_SALE,blue_light,blue,claro,two,"('work', 'freetime')",warm,"('casual', 'boho')",vertical_stripes,false,oversize
776851,CARDIGAN,Lua Cardigan colors ,7,2,WHOLE_SALE,gray_light,grey,suave,three,freetime,cold,street,horizontal_stripes,false,loose
776844,CARDIGAN,Lua Cardigan colors ,7,2,WHOLE_SALE,blue,blue,intenso,three,freetime,cold,street,horizontal_stripes,false,loose
777094,TOP,Lunce Top colors ,7,2,WHOLE_SALE,white,white,claro,three,"('night', 'freetime')",warm,"('classic', 'night')",smooth,false,straight
777155,TOP,Lunce Top colors ,7,2,WHOLE_SALE,green,green,intenso,three,"('night', 'freetime')",warm,"('classic', 'night')",smooth,false,straight
777223,TOP,Lunce Top colors ,7,2,WHOLE_SALE,mustand,yellow,intenso,three,"('night', 'freetime')",warm,"('classic', 'night')",smooth,false,straight
777131,TOP,Lunce Top colors ,7,2,WHOLE_SALE,black,black,oscuro,three,"('night', 'freetime')",warm,"('classic', 'night')",smooth,false,straight
777193,TOP,Lunce Top colors ,7,2,WHOLE_SALE,orange,orange,intenso,three,"('night', 'freetime')",warm,"('classic', 'night')",smooth,false,straight
777551,SWEATER,Jule Sweater colors ,7,2,WHOLE_SALE,black,black,oscuro,two,freetime,cold,boho,smooth,false,straight
777582,SWEATER,Jule Sweater colors ,7,2,WHOLE_SALE,red,red,intenso,two,freetime,cold,boho,smooth,false,straight
777544,SWEATER,Jule Sweater colors ,7,2,WHOLE_SALE,white,white,claro,two,freetime,cold,boho,smooth,false,straight
777605,SWEATER,Jule Sweater colors ,7,2,WHOLE_SALE,mustand,yellow,intenso,two,freetime,cold,boho,smooth,false,straight
651073,JACKET,Aitana Jacket moon,7,3,NO_MAINSTREAM,blue_dark,blue,oscuro,"('three', 'two')",freetime,warm,"('casual', 'street')",smooth,false,straight
1456424,DRESS,Hearts Dress season,9,1,WHOLE_SALE,red,red,intenso,two,freetime,warm,"('classic', 'boho')",miniprint,false,loose
1445541,TOP,Ferial Top majolica,9,2,WHOLE_SALE,white,white,claro,two,"('freetime', 'work', 'night')",warm,"('boho', 'classic')",smooth,false,straight
1445633,TOP,Ferial Top majolica,9,2,WHOLE_SALE,blue_dark,blue,oscuro,two,"('freetime', 'work', 'night')",warm,"('boho', 'classic')",smooth,false,straight
